"","BAIRRO","NM_VOTAVEL","votos_bairro","votos_cand","freq_cand"
"1012","VILA SÃO JOSÉ","GUSTAVO BOHRER PAIM",11189,103,0.920546965769953
"1013","VILA SÃO JOSÉ","JOÃO DERLY DE OLIVEIRA NUNES JUNIOR",11189,608,5.43390830279739
"1014","VILA SÃO JOSÉ","JULIANA BRIZOLA",11189,772,6.89963356868353
"1015","VILA SÃO JOSÉ","JULIO CESAR LEIRIAS FLORES",11189,21,0.187684332826884
"1016","VILA SÃO JOSÉ","LUIZ DELVAIR MARTINS BARROS",11189,2,0.0178746983644651
"1017","VILA SÃO JOSÉ","MANUELA PINTO VIEIRA D AVILA",11189,3731,33.3452497989096
"1018","VILA SÃO JOSÉ","MONTSERRAT ANTÔNIO DE VASCONCELLOS MARTINS",11189,20,0.178746983644651
"1019","VILA SÃO JOSÉ","NELSON MARCHEZAN JÚNIOR",11189,2009,17.9551345071052
"1020","VILA SÃO JOSÉ","RODRIGO MARINI MARONI",11189,87,0.777549378854232
"1021","VILA SÃO JOSÉ","SEBASTIÃO DE ARAÚJO MELO",11189,3184,28.4565197962284
"1022","VILA SÃO JOSÉ","VALTER LUIS DA COSTA NAGELSTEIN",11189,217,1.93940477254446
